rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.7733,0.5466,1.0,1.0,8,7,False,True
2,frame_0287.jpg,114.8,0.7332,0.7659,0.7143,0.68,7,5,False,True
3,frame_0004.jpg,1.6,0.705,0.5815,0.7143,1.0,7,5,False,True
4,frame_0073.jpg,29.2,0.6924,0.5563,0.7143,1.0,5,5,False,True
5,frame_0016.jpg,6.4,0.6884,0.6339,0.5714,1.0,4,4,False,True
6,frame_0288.jpg,115.2,0.6619,0.6073,0.7143,0.72,8,5,False,False
7,frame_0003.jpg,1.2,0.6587,0.5745,0.5714,1.0,8,4,False,False
8,frame_0002.jpg,0.8,0.6424,0.542,0.5714,1.0,7,4,False,False
9,frame_0007.jpg,2.8,0.64,0.5371,0.5714,1.0,5,4,False,False
10,frame_0286.jpg,114.4,0.6397,0.5092,0.8571,0.64,9,6,False,False
11,frame_0071.jpg,28.4,0.6396,0.5363,0.5714,1.0,5,4,False,False
12,frame_0075.jpg,30.0,0.6383,0.4641,0.7143,0.96,6,5,False,False
13,frame_0008.jpg,3.2,0.6276,0.598,0.4286,1.0,5,3,False,False
14,frame_0070.jpg,28.0,0.6072,0.4716,0.5714,1.0,6,4,False,False
15,frame_0078.jpg,31.2,0.6038,0.443,0.7143,0.84,8,5,False,True
16,frame_0072.jpg,28.8,0.5765,0.4958,0.4286,1.0,6,3,False,False
17,frame_0284.jpg,113.6,0.5672,0.4818,0.7143,0.56,5,5,False,False
18,frame_0074.jpg,29.6,0.5657,0.4743,0.4286,1.0,8,3,False,False
19,frame_0001.jpg,0.4,0.561,0.3791,0.5714,1.0,10,4,False,False
20,frame_0289.jpg,115.6,0.5581,0.555,0.4286,0.76,8,3,False,False
21,frame_0006.jpg,2.4,0.557,0.3711,0.5714,1.0,7,4,False,False
22,frame_0076.jpg,30.4,0.5561,0.4014,0.5714,0.92,8,4,False,False
23,frame_0292.jpg,116.8,0.5535,0.4442,0.5714,0.8,7,4,False,True
24,frame_0167.jpg,66.8,0.5532,0.4378,0.7143,0.6,5,5,False,True
25,frame_0079.jpg,31.6,0.5394,0.5016,0.4286,0.8,7,3,False,False
